Date received,Product,Sub-product,Issue,Complaint list,Company,State,Tags,Date sent,Company response,Timely response,Consumer disputed,Date difference(%)
27-03-2015,Debt collection,Payday loan,Taking/threatening an illegal action,Acted by contract/law,"Cash Express, LLC",TN,Older American,27-03-2015,Closed with explanation,Yes,No,0
03-06-2016,Debt collection,Credit card,Taking/threatening an illegal action,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,"Older American, Servicemember",17-06-2016,Closed with explanation,Yes,No,55.41
19-01-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,IN,Older American,19-01-2017,Closed with explanation,Yes,Yes,0
23-09-2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,OH,Older American,29-09-2015,Closed with explanation,Yes,No,23.74
23-09-2015,Debt collection,Medical,Improper contact or sharing of info,Acted by contract/law,"PDQ Services, Inc.",GA,Servicemember,23-09-2015,Closed with explanation,Yes,Yes,0
05-08-2015,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"Aargon Agency, Inc.",CA,Servicemember,05-08-2015,Closed,Yes,Yes,0
16-09-2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,MI,Older American,16-09-2016,Closed with explanation,Yes,No,0
03-12-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"The CMI Group, Inc.",NM,"Older American, Servicemember",03-12-2015,Closed with non-monetary relief,Yes,No,0
15-03-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,UT,Servicemember,15-03-2017,Closed with explanation,Yes,No,0
16-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Source Receivables Management LLC,TX,Servicemember,16-03-2017,Closed with explanation,Yes,Yes,0
30-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"HW Holding, Inc",AR,Servicemember,30-11-2016,Closed with non-monetary relief,Yes,No,0
14-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"I.Q. DATA INTERNATIONAL, INC.",FL,Servicemember,14-01-2016,Closed with explanation,Yes,Yes,0
30-10-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,"Receivables Performance Management, LLC",TX,Servicemember,30-10-2015,Closed with explanation,Yes,No,0
07-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,company disputing complaint,Prince Parker & Associates,TN,Older American,07-04-2016,Closed with explanation,Yes,No,0
08-02-2016,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Third party action,First Associates Loan Servicing LLC,SC,Servicemember,08-02-2016,Closed with explanation,Yes,No,0
25-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Acted by contract/law,"McCarthy, Burgess & Wolff, Inc.",AZ,Servicemember,29-03-2016,Closed with explanation,Yes,Yes,15.83
02-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Express Recovery Services, Inc.",FL,Servicemember,02-07-2015,Closed,Yes,Yes,0
17-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,No public response provided,"Receivables Performance Management, LLC",CA,Servicemember,23-07-2015,Closed with explanation,Yes,No,23.73
05-01-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,No public response provided,U.S. BANCORP,TX,Older American,05-01-2016,Closed with explanation,Yes,No,0
30-11-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"Focused Recovery Solutions, Inc.",VA,"Older American, Servicemember",30-11-2016,Closed with non-monetary relief,No,No,0
24-10-2016,Debt collection,Medical,Disclosure verification of debt,responds  only to consumer,"Debt Recovery Solutions, LLC",NY,Older American,24-10-2016,Closed with explanation,Yes,No,0
22-05-2016,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,responds  only to consumer,"ECMC GROUP, INC.",CA,Older American,22-05-2016,Closed with explanation,Yes,Yes,0
22-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Ray Klein, Inc.",NC,Older American,24-02-2016,Closed with non-monetary relief,Yes,No,7.92
21-09-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,HCFS Healthcare Financial Services of TeamHealth,FL,Servicemember,21-09-2016,Closed with explanation,Yes,Yes,0
21-04-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Company can't verify or dispute the facts in the complaint,"Aargon Agency, Inc.",TX,Servicemember,21-04-2015,Closed,No,No,0
23-10-2015,Debt collection,Auto,Taking/threatening an illegal action,Acted by contract/law,"Constar Financial Services, LLC",TX,Older American,23-10-2015,Closed with explanation,Yes,No,0
28-12-2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,WI,Servicemember,28-12-2016,Closed with explanation,Yes,No,0
01-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"Altisource Portfolio Solutions, S.à r.l.",MS,Servicemember,01-03-2017,Closed with explanation,Yes,No,0
09-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Express Recovery Services, Inc.",UT,Servicemember,09-02-2017,Closed,Yes,No,0
07-03-2016,Debt collection,Medical,False statements or representation,responds  only to consumer,"CMRE Financial Services, Inc.",CA,Servicemember,07-03-2016,Closed with explanation,Yes,No,0
23-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"HW Holding, Inc",SC,"Older American, Servicemember",23-03-2017,Closed with explanation,Yes,No,0
20-02-2017,Student loan,Federal student loan servicing,Can't repay my loan,responds  only to consumer,"ECMC GROUP, INC.",NC,Older American,13-03-2017,Closed with explanation,Yes,No,52.63
06-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,Merchants' Credit Guide Company,SC,Servicemember,06-11-2016,Closed with non-monetary relief,Yes,No,0
21-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,responds  only to consumer,ALLY FINANCIAL INC.,PA,Servicemember,22-03-2016,Closed with explanation,Yes,No,3.93
29-10-2015,Debt collection,Non-federal student loan,False statements or representation,No public response provided,IQOR US INC,TX,Servicemember,29-10-2015,Closed with non-monetary relief,Yes,No,0
22-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Acted by contract/law,"Southwest Credit Systems, L.P.",MI,Servicemember,22-01-2016,Closed,No,Yes,0
28-03-2016,Debt collection,Mortgage,False statements or representation,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",SC,Servicemember,28-03-2016,Closed with explanation,Yes,No,0
09-03-2016,Debt collection,Medical,Communication tactics,Acted by contract/law,"Capital Accounts, LLC",KY,Servicemember,17-03-2016,Closed with explanation,Yes,Yes,31.64
14-03-2016,Debt collection,Credit card,Improper contact or sharing of info,Acted by contract/law,"STERLING JEWELERS, INC.",OH,Servicemember,14-03-2016,Closed with explanation,Yes,No,0
07-04-2015,Debt collection,Federal student loan,False statements or representation,company disputing complaint,"National Enterprise Systems, Inc.",VT,Servicemember,09-04-2015,Closed with explanation,Yes,No,7.89
03-10-2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,CA,Servicemember,06-10-2016,Closed with explanation,Yes,No,11.88
09-04-2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,responds  only to consumer,"ECMC GROUP, INC.",CA,Servicemember,10-04-2017,Closed with explanation,Yes,Yes,3.96
08-02-2016,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Third party action,First Associates Loan Servicing LLC,SC,Servicemember,08-02-2016,Closed with explanation,Yes,No,0
23-06-2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,No public response provided,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,Older American,01-07-2015,Closed with explanation,Yes,No,31.67
16-12-2016,Debt collection,Credit card,Taking/threatening an illegal action,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,Servicemember,16-12-2016,Closed with explanation,Yes,No,0
10-04-2017,Debt collection,Credit card,False statements or representation,company disputing complaint,"Lustig, Glaser & Wilson, P.C.",MA,Servicemember,10-04-2017,Closed with explanation,Yes,No,0
10-04-2017,Debt collection,Credit card,Communication tactics,opportunity for Consumer satisfaction,"ZENCO COLLECTION, LLC",SC,Servicemember,10-04-2017,Closed,Yes,No,0
10-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,First Advantage LNS Inc.,VA,Servicemember,10-04-2017,Closed with explanation,Yes,No,0
09-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Misunderstanding,"HW Holding, Inc",NV,Servicemember,09-01-2016,Closed with explanation,Yes,No,0
30-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"Navient Solutions, LLC.",VA,Servicemember,30-03-2017,Closed with explanation,Yes,No,0
21-02-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"CITIBANK, N.A.",GA,Older American,21-02-2017,Closed with explanation,Yes,No,0
15-11-2015,Debt collection,Credit card,Disclosure verification of debt,No public response provided,"CITIBANK, N.A.",WA,Servicemember,15-11-2015,Closed with explanation,Yes,Yes,0
15-03-2017,Debt collection,Payday loan,False statements or representation,responds  only to consumer,"Devon Financial Services, Inc.",IL,Servicemember,16-03-2017,Closed with explanation,No,No,3.95
22-03-2017,Debt collection,Credit card,Disclosure verification of debt,Acted by contract/law,NAVY FEDERAL CREDIT UNION,AZ,Servicemember,22-03-2017,Closed with monetary relief,Yes,No,0
27-07-2015,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,HCFS Healthcare Financial Services of TeamHealth,FL,Servicemember,10-08-2015,Closed with explanation,Yes,No,55.4
05-04-2017,Debt collection,Credit card,Disclosure verification of debt,Acted by contract/law,UNITED SERVICES AUTOMOBILE ASSOCIATION,CA,Servicemember,05-04-2017,Closed with explanation,Yes,Yes,0
21-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Receivables Performance Management, LLC",NC,Servicemember,21-03-2017,Closed with explanation,Yes,No,0
04-04-2017,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"R.M. Galicia, Inc.",CA,Servicemember,04-04-2017,Closed with explanation,Yes,No,0
18-05-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,SYNCHRONY FINANCIAL,TX,Older American,18-05-2016,Closed with explanation,Yes,Yes,0
05-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"SUNRISE CREDIT SERVICES, INC",CT,"Older American, Servicemember",05-11-2016,Closed with explanation,Yes,No,0
17-12-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"Kriya Capital, LLC",CA,Older American,17-12-2016,Closed with explanation,Yes,No,0
25-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,company disputing complaint,"The CMI Group, Inc.",OH,Servicemember,25-11-2015,Closed with non-monetary relief,Yes,No,0
22-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Credit Protection Association, L.P.",MD,Older American,22-11-2016,Closed with non-monetary relief,Yes,No,0
12-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,ERC,CA,Servicemember,12-02-2017,Closed,Yes,Yes,0
19-08-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,SQUARETWO FINANCIAL CORPORATION,TN,Older American,19-08-2016,Closed with non-monetary relief,Yes,No,0
11-01-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Acted by contract/law,D2 Management LLC,OK,Servicemember,11-01-2016,Closed with explanation,Yes,Yes,0
17-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,"Receivables Performance Management, LLC",AR,Older American,17-06-2015,Closed with explanation,Yes,No,0
16-03-2016,Debt collection,Credit card,Communication tactics,Acted by contract/law,"NARTEY LAW GROUP, LLC",VA,Older American,16-03-2016,Closed with explanation,Yes,No,0
07-06-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"R.M. Galicia, Inc.",CA,Servicemember,07-06-2016,Closed with explanation,Yes,No,0
21-04-2016,Debt collection,Auto,Improper contact or sharing of info,Acted by contract/law,"Byrider Franchising, LLC",TN,Servicemember,24-04-2016,Closed with explanation,Yes,No,11.87
01-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"CCS Financial Services, Inc.",OR,Servicemember,01-04-2016,Closed with explanation,Yes,No,0
17-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,No public response provided,"P.S.C., Inc",WA,Older American,08-12-2015,Closed with explanation,Yes,No,83.09
31-01-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,company disputing complaint,R & B Corporation of Virginia,IL,Servicemember,31-01-2017,Closed with explanation,Yes,No,0
06-11-2016,Debt collection,Mortgage,Taking/threatening an illegal action,responds  only to consumer,WELLS FARGO & COMPANY,PA,Older American,07-11-2016,Closed with explanation,Yes,No,3.96
30-01-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,First Credit Services Inc.,NJ,Older American,02-02-2017,Closed with explanation,Yes,Yes,11.88
23-06-2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,NAVY FEDERAL CREDIT UNION,VA,"Older American, Servicemember",28-06-2016,Closed with explanation,Yes,Yes,19.8
14-02-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Acted by contract/law,NAVY FEDERAL CREDIT UNION,NC,Servicemember,14-02-2017,Closed with explanation,Yes,No,0
21-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"NCC Business Services, Inc.",MA,Servicemember,21-03-2017,Closed with explanation,Yes,No,0
22-12-2016,Debt collection,Non-federal student loan,False statements or representation,company disputing complaint,Perfection Collection,NC,Servicemember,22-12-2016,Closed,Yes,Yes,0
04-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"NCC Business Services, Inc.",CA,Servicemember,04-04-2017,Closed with explanation,Yes,No,0
20-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,ERC,AZ,Servicemember,20-06-2015,Closed with explanation,Yes,No,0
28-02-2017,Debt collection,Medical,False statements or representation,company disputing complaint,Advance Bureau of Collections,GA,Servicemember,28-02-2017,Closed with explanation,Yes,No,0
24-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Misunderstanding,ERC,WV,Servicemember,03-08-2015,Closed with non-monetary relief,Yes,No,39.56
10-10-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,VA,Servicemember,10-10-2016,Closed with non-monetary relief,Yes,No,0
10-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,TX,Servicemember,15-06-2015,Closed,Yes,No,19.79
11-08-2016,Debt collection,Mortgage,Disclosure verification of debt,responds  only to consumer,WELLS FARGO & COMPANY,CA,Older American,11-08-2016,Closed with explanation,Yes,No,0
16-05-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,WELLS FARGO & COMPANY,OR,Older American,19-05-2016,Closed with explanation,Yes,No,11.88
11-01-2016,Debt collection,Credit card,Communication tactics,Company can't verify or dispute the facts in the complaint,"STERLING JEWELERS, INC.",KY,Servicemember,11-01-2016,Closed,Yes,No,0
12-10-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,No public response provided,Van Ru Credit Corporation,MD,Servicemember,14-10-2015,Closed with non-monetary relief,Yes,No,7.91
15-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"First National Collection Bureau, Inc.",FL,"Older American, Servicemember",17-06-2015,Closed with explanation,Yes,No,7.92
31-10-2016,Debt collection,Medical,Communication tactics,responds  only to consumer,FINANCIAL ASSET MANAGEMENT SYSTEMS INC,GA,Servicemember,31-10-2016,Closed with non-monetary relief,Yes,No,0
08-06-2016,Debt collection,Credit card,Improper contact or sharing of info,Third party action,"MRS BPO, LLC",MI,"Older American, Servicemember",13-06-2016,Closed with explanation,Yes,No,19.8
13-07-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"Williams, Alexander & Associates, Inc",FL,Servicemember,13-07-2016,Closed with explanation,Yes,Yes,0
14-01-2016,Debt collection,Payday loan,Taking/threatening an illegal action,Acted by contract/law,"Wilson, Riley & Associates",AZ,Servicemember,14-01-2016,Closed with explanation,Yes,No,0
08-02-2016,Debt collection,Mortgage,False statements or representation,No public response provided,"Dyck-O'Neal, Inc.",MD,Older American,08-02-2016,Closed with explanation,Yes,No,0
15-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Solomon and Solomon, P.C.",NJ,"Older American, Servicemember",15-02-2017,Closed with explanation,Yes,No,0
11-08-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,Monterey Financial Services LLC,IL,Servicemember,11-08-2016,Closed with explanation,Yes,No,0
20-11-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"WAKEFIELD & ASSOCIATES, INC.",CO,Servicemember,28-11-2016,Closed with explanation,Yes,No,1.23
05-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,"Pinnacle Credit Services, LLC",CA,Older American,05-11-2015,Closed with explanation,Yes,Yes,0
22-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Stellar Recovery, Inc.",NC,Older American,26-02-2016,Closed with explanation,Yes,No,15.84
30-05-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,BANCO POPULAR DE PUERTO RICO,PR,Older American,10-06-2016,Closed with explanation,Yes,No,43.52
25-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Amsher Collection Services, Inc.",NC,"Older American, Servicemember",25-01-2016,Closed with explanation,Yes,No,0
12-06-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,Older American,23-06-2016,Closed with monetary relief,Yes,Yes,43.52
30-10-2015,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Third party action,First Associates Loan Servicing LLC,SC,Servicemember,30-10-2015,Closed with explanation,No,No,0
16-12-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Misunderstanding,"CCS Financial Services, Inc.",FL,Servicemember,16-12-2016,Closed with explanation,Yes,No,0
09-05-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,TENET HEALTHCARE CORPORATION,CA,Servicemember,09-05-2016,Closed with explanation,Yes,Yes,0
19-08-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",TN,Older American,19-08-2016,Closed with explanation,Yes,No,0
08-10-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CO,Older American,13-10-2016,Closed with explanation,Yes,No,19.8
04-06-2015,Debt collection,Auto,Cont'd attempts collect debt not owed,company disputing complaint,"CCS Financial Services, Inc.",TN,"Older American, Servicemember",04-06-2015,Closed with explanation,No,No,0
18-12-2015,Debt collection,Credit card,Communication tactics,Acted by contract/law,"STERLING JEWELERS, INC.",NC,Servicemember,18-12-2015,Closed with explanation,Yes,No,0
15-10-2015,Debt collection,Auto,Cont'd attempts collect debt not owed,No public response provided,WELLS FARGO & COMPANY,RI,Older American,15-10-2015,Closed with explanation,Yes,No,0
02-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Amsher Collection Services, Inc.",NV,Servicemember,02-07-2015,Closed with explanation,Yes,No,0
08-09-2015,Debt collection,Medical,Improper contact or sharing of info,Misunderstanding,AR Solutions Inc,IA,Servicemember,15-09-2015,Closed with explanation,Yes,No,27.72
06-08-2015,Debt collection,Credit card,Communication tactics,Third party action,"STERLING JEWELERS, INC.",OH,Servicemember,06-08-2015,Closed with monetary relief,Yes,No,0
09-02-2017,Debt collection,Mortgage,Disclosure verification of debt,responds  only to consumer,"LoanCare, LLC",TN,Servicemember,13-02-2017,Closed with explanation,Yes,No,15.83
20-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,company disputing complaint,"National Credit Systems,Inc.",AZ,Older American,20-12-2016,Closed with explanation,Yes,No,0
23-03-2015,Debt collection,Mortgage,Communication tactics,Company can't verify or dispute the facts in the complaint,PHH Mortgage Services Corporation,TN,Servicemember,31-03-2015,Closed,Yes,No,31.63
08-11-2016,Debt collection,Mortgage,False statements or representation,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,Older American,09-11-2016,Closed with explanation,Yes,Yes,3.96
08-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"I.Q. DATA INTERNATIONAL, INC.",NV,Servicemember,08-04-2016,Closed with explanation,Yes,No,0
25-03-2015,Debt collection,Credit card,Communication tactics,Acted by contract/law,Nations Recovery Center,GA,Servicemember,25-03-2015,Closed with non-monetary relief,Yes,Yes,0
12-06-2016,Debt collection,Credit card,False statements or representation,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,Older American,23-06-2016,Closed with monetary relief,Yes,No,43.52
05-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Third party action,"HOVG, LLC",WA,"Older American, Servicemember",05-04-2017,Closed with explanation,Yes,No,0
30-03-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"Strategic Alliances, Inc.",SC,Servicemember,30-03-2017,Closed with explanation,Yes,No,0
12-06-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,Older American,12-06-2016,Closed with monetary relief,Yes,No,0
04-05-2016,Student loan,Non-federal student loan,Can't repay my loan,Acted by contract/law,GREAT LAKES,MD,Servicemember,06-05-2016,Closed with explanation,Yes,Yes,7.91
04-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"SUNRISE CREDIT SERVICES, INC",CA,Servicemember,04-04-2017,Closed with explanation,Yes,No,0
31-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"I.C. System, Inc.",NY,Older American,31-03-2017,Closed with explanation,Yes,No,0
12-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,"Receivables Performance Management, LLC",WV,Older American,16-11-2015,Closed with explanation,Yes,No,15.83
18-04-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,No public response provided,Louisiana Recovery Services Inc.,LA,Servicemember,18-04-2015,Closed with explanation,Yes,No,0
01-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,TX,Servicemember,01-04-2017,Closed,Yes,No,0
09-04-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,TX,Servicemember,09-04-2017,Closed with explanation,Yes,No,0
27-05-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"First Federal Credit Control, Inc.",OH,Older American,04-08-2016,Closed with explanation,Yes,No,273.05
26-01-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Acted by contract/law,"Williams, Rush & Associates, LLC",AL,Servicemember,29-03-2017,Closed with explanation,No,No,214.89
16-03-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,company disputing complaint,"Uptain Group, Inc.",AL,Older American,16-03-2017,Closed with explanation,Yes,No,0
04-03-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"HOVG, LLC",KS,Servicemember,04-03-2017,Closed with explanation,No,No,0
24-03-2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,TX,Servicemember,24-03-2017,Closed with explanation,Yes,No,0
28-06-2016,Debt collection,Payday loan,Cont'd attempts collect debt not owed,company disputing complaint,"Nationwide Debt Management Solutions, LLC",CA,Older American,28-06-2016,Closed with explanation,Yes,Yes,0
07-12-2015,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"Aargon Agency, Inc.",HI,Servicemember,22-12-2015,Closed,Yes,No,59.35
01-03-2017,Debt collection,Auto,Taking/threatening an illegal action,responds  only to consumer,"Coastal Credit, LLC",NJ,Servicemember,01-03-2017,Closed with explanation,Yes,No,0
16-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,responds  only to consumer,"Kross, Lieberman & Stone, Inc.",OH,Servicemember,17-03-2017,Closed with explanation,Yes,No,3.96
04-02-2017,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"The CMI Group, Inc.",TX,Servicemember,04-02-2017,Closed with non-monetary relief,Yes,No,0
17-02-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Third party action,"Capital Accounts, LLC",LA,Older American,17-02-2017,Closed with explanation,Yes,No,0
05-04-2017,Debt collection,Credit card,False statements or representation,Acted by contract/law,NAVY FEDERAL CREDIT UNION,MD,Servicemember,05-04-2017,Closed with explanation,Yes,No,0
06-03-2017,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,TENET HEALTHCARE CORPORATION,TX,Servicemember,06-03-2017,Closed with explanation,Yes,No,0
23-03-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,Phoenix Financial Services LLC,CO,Servicemember,23-03-2017,Closed with explanation,Yes,No,0
25-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Misunderstanding,"CCS Financial Services, Inc.",TX,Older American,25-06-2015,Closed with explanation,Yes,No,0
20-05-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"RS Clark and Associates, Inc.",AZ,Servicemember,27-05-2015,Closed with explanation,Yes,No,27.69
09-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,FL,Servicemember,09-04-2017,Closed,Yes,No,0
29-03-2017,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Isolated error,UNITED SERVICES AUTOMOBILE ASSOCIATION,FL,"Older American, Servicemember",30-03-2017,Closed with non-monetary relief,Yes,No,3.95
